Freshly squeezed orange juice - Unpasteurised (mg/100 mL),Premium (Industry pasteurised) juice (mg/100 mL),Budget (UHT) juice (mg/ 100 mL),Organic Juice (mg/ 100mL)
82.2016,62.0464,32.8016,63.232
98.0096,62.244,36.556,56.316
95.836,65.8008,31.8136,59.0824
101.0724,64.22,41.5948,60.8608
82.992,59.0824,34.7776,63.6272
83.98,63.726,33.4932,59.8728
77.064,64.3188,43.6696,76.9652
101.27,64.714,32.604,65.9984
82.004,60.0704,31.2208,64.0224
97.6144,81.8064,36.556,73.112
76.6688,67.5792,28.0592,56.316
91.1924,54.5376,27.664,48.6096
94.9468,63.4296,33.592,66.3936
70.5432,51.376,51.5736,21.5384
72.124,53.846,22.724,53.352
87.1416,55.5256,27.664,50.5856
99.788,64.22,35.568,65.6032
91.884,63.726,34.58,61.256
70.3456,60.8608,32.0112,60.0704
78.8424,68.172,52.7592,44.46
91.6864,55.7232,25.8856,52.7592
87.0428,67.184,33.6908,45.6456
98.8,65.9984,37.4452,61.256
91.4888,56.7112,28.8496,50.388
85.5608,67.184,33.7896,57.1064
82.2016,63.4296,37.7416,63.0344
78.2496,55.1304,17.1912,52.5616
84.3752,61.6512,31.616,45.8432
94.4528,63.8248,35.3704,64.0224
94.848,53.352,17.784,56.6124
91.4888,54.1424,13.4368,54.34
95.836,59.28,29.146,64.22
67.5792,57.5016,21.736,51.1784
71.4324,45.2504,6.916,42.5828
72.9144,57.304,30.5292,50.388
99.1952,58.8848,28.2568,61.256
113.62,51.376,8.892,47.424
90.1056,52.364,21.5384,51.7712
101.9616,64.8128,34.3824,62.4416
82.2016,61.3548,34.1848,43.5708
120.2396,74.4952,31.2208,81.3124
70.3456,60.0704,35.3704,61.6512
86.5488,61.1572,34.4812,53.0556
85.7584,65.8996,33.8884,65.3068
88.7224,60.268,25.2928,50.9808
79.04,63.4296,33.7896,66.196
79.2376,57.1064,38.1368,48.6096
90.5008,64.0224,32.0112,64.6152
86.944,60.268,30.628,54.34
96.824,66.196,33.592,63.3308
0,64.22,29.64,63.232
70.3456,62.6392,34.58,65.208
95.836,60.268,33.592,59.28
71.63,57.4028,14.326,50.5856
104.728,103.9376,28.652,64.22
84.5728,59.0824,21.736,52.9568
98.0096,67.184,39.52,61.256
84.968,63.8248,33.3944,72.124
82.004,52.7592,41.496,73.112
96.824,41.496,23.712,58.292
83.7824,62.244,33.3944,64.6152
96.824,62.4416,30.8256,57.6992
95.4408,63.6272,31.0232,58.9836
94.0576,64.8128,36.4572,64.0224
86.3512,62.0464,33.1968,64.0224
83.98,64.4176,33.4932,60.268
77.558,73.7048,42.6816,76.076
98.8,65.208,34.086,65.208
84.968,64.0224,32.0112,64.0224
94.0576,79.4352,36.7536,65.702
77.8544,66.3936,24.5024,56.9088
89.1176,55.1304,22.9216,46.0408
95.9348,63.6272,30.8256,66.196
70.3456,51.7712,51.5736,20.9456
75.088,53.9448,23.1192,53.352
86.7464,55.822,28.158,51.376
98.8,65.208,34.1848,62.244
90.896,62.6392,35.4692,61.4536
81.2136,64.4176,27.2688,64.4176
80.4232,68.3696,47.0288,44.5588
92.6744,57.304,25.2928,52.7592
87.1416,64.22,33.9872,45.6456
98.6024,66.196,37.544,62.244
92.6744,57.304,30.628,51.1784
88.7224,67.3816,33.9872,54.5376
80.6208,61.256,41.496,57.5016
82.3992,52.9568,17.784,56.316
83.3872,55.328,32.604,45.448
95.0456,64.8128,34.1848,0
96.824,52.5616,15.808,52.7592
92.872,53.1544,13.4368,54.5376
90.402,51.376,29.64,60.268
67.7768,58.0944,20.3528,52.364
69.16,50.4868,7.904,42.3852
72.7168,57.304,30.628,50.388
99.5904,61.256,27.4664,61.0584
123.5,59.28,11.856,46.436
89.8092,52.2652,19.76,52.1664
98.8,63.0344,36.1608,60.8608
82.8932,60.6632,35.074,45.7444
119.7456,78.9412,31.2208,79.534
70.7408,59.0824,33.592,62.4416
82.6956,60.762,33.2956,53.352
85.6596,65.8996,33.6908,65.5044
90.896,58.292,23.9096,48.8072
84.2764,63.726,34.6788,64.22
79.6328,56.9088,35.1728,46.436
92.0816,64.4176,31.122,65.8008
86.944,61.256,31.8136,53.7472
91.884,64.22,33.098,63.0344
79.6328,63.232,28.4544,57.6992
72.9144,61.256,34.9752,66.7888
94.7492,61.256,32.604,57.304
72.618,58.1932,12.844,0
95.0456,101.764,19.76,65.208
84.5728,60.0704,20.3528,52.7592
97.6144,65.208,37.544,59.0824
84.968,64.22,36.7536,69.16
87.932,61.256,37.544,68.172
96.824,47.424,27.664,59.28
