,altitude,so,so2
1,-0.704689723,6.10E-16,7.35E-06
2,-0.665537672,6.14E-16,7.35E-06
3,-0.560130865,6.38E-16,7.35E-06
4,-0.338212662,7.16E-16,7.35E-06
5,0.04588663,8.12E-16,7.35E-06
6,0.636510833,9.03E-16,7.35E-06
7,1.475348372,9.73E-16,7.35E-06
8,2.600597941,1.02E-15,7.36E-06
9,4.04613478,1.06E-15,7.39E-06
10,5.840365711,1.07E-15,7.44E-06
11,8.004692432,1.27E-15,7.56E-06
12,10.55303372,5.92E-15,7.72E-06
13,13.49135509,2.57E-14,7.91E-06
14,16.81617891,6.80E-14,8.11E-06
15,20.50942658,1.33E-13,8.27E-06
16,24.44175194,2.84E-13,8.37E-06
17,28.33343924,6.29E-13,8.43E-06
18,32.01034726,1.10E-14,8.47E-06
19,35.47595331,1.08E-15,8.47E-06
20,38.71806531,3.80E-16,8.30E-06
21,41.71853186,1.26E-16,7.90E-06
22,44.50716306,1.23E-15,7.36E-06
23,47.13362277,1.08E-14,6.92E-06
24,49.60762433,7.45E-14,6.73E-06
25,51.92295942,3.59E-13,6.65E-06
26,54.07841631,1.55E-12,6.57E-06
27,56.0802577,6.21E-12,6.45E-06
28,57.93635846,1.46E-11,6.20E-06
29,59.66297308,1.19E-11,5.58E-06
30,61.28797567,2.49E-12,4.49E-06
31,62.84736579,6.18E-12,3.25E-06
32,64.41679145,1.61E-10,2.20E-06
33,66.05791283,6.82E-10,1.38E-06
34,67.75125984,1.32E-09,7.87E-07
35,69.45006449,1.55E-09,4.30E-07
36,71.12910436,1.55E-09,2.44E-07
37,72.78328276,1.47E-09,1.60E-07
38,74.42006023,1.41E-09,1.26E-07
39,76.06583954,1.52E-09,1.11E-07
40,77.73644499,1.69E-09,1.04E-07
41,79.41103965,1.91E-09,9.87E-08
42,81.05759183,2.12E-09,9.49E-08
43,82.66393287,2.34E-09,9.35E-08
44,84.22272226,2.64E-09,9.46E-08
45,85.72809876,3.08E-09,9.58E-08
46,87.39159687,3.76E-09,9.39E-08
47,89.52876629,4.99E-09,9.01E-08
48,92.09026302,7.54E-09,8.97E-08
49,94.95427289,1.27E-08,8.88E-08
50,98.00461311,1.46E-08,8.49E-08
51,100.3931795,1.49E-08,7.89E-08
52,102.2482482,1.41E-08,7.50E-08
53,104.202286,1.75E-08,6.84E-08
54,106.2514884,2.43E-08,6.02E-08
55,108.367703,3.22E-08,5.17E-08
56,110.5543634,4.18E-08,4.19E-08
57,112.844633,5.25E-08,3.08E-08
58,115.1585347,6.07E-08,2.19E-08
59,117.3241908,6.62E-08,1.54E-08
60,119.3478514,6.99E-08,1.07E-08
61,121.2903091,7.22E-08,6.78E-09
62,123.215108,7.30E-08,3.70E-09
63,125.1267531,7.18E-08,1.84E-09
64,126.9761047,6.87E-08,9.27E-10
65,128.9080548,6.42E-08,4.77E-10
66,130.9197488,5.87E-08,2.36E-10
67,132.9497676,5.30E-08,1.16E-10
68,135.0520522,4.72E-08,5.81E-11
69,137.2246967,4.11E-08,2.41E-11
70,139.5137683,3.48E-08,8.62E-12
71,141.972967,2.87E-08,3.08E-12
72,144.7091226,2.27E-08,1.22E-12
73,147.8488383,1.70E-08,5.20E-13
74,151.5060422,1.20E-08,2.54E-13
75,155.7536542,7.86E-09,1.44E-13
76,160.6153844,4.82E-09,8.65E-14
77,166.0589755,2.81E-09,5.09E-14
78,172.0472616,1.62E-09,2.61E-14
